id,tranche_age,absenteisme_psy,charge_mentale,soutien_managerial,participation_prevention,score_sante_mentale
1,46-55,3,1,5,1,2.3
2,56+,0,1,4,5,2.34
3,36-45,3,3,3,4,2.56
4,56+,1,5,2,5,3.51
5,56+,0,4,0,1,1.49
6,26-35,5,0,0,1,1.65
7,36-45,4,0,3,5,2.29
8,36-45,2,2,2,0,1.35
9,36-45,3,5,2,3,2.7
10,56+,5,1,5,1,3.77
11,46-55,2,4,5,5,3.35
12,36-45,2,3,5,5,2.79
13,56+,0,1,5,2,2.02
14,26-35,2,5,5,3,3.3
15,46-55,4,3,5,4,3.55
16,26-35,5,2,4,0,2.8
17,46-55,2,2,2,4,2.1
18,56+,0,0,5,3,1.89
19,18-25,4,5,2,3,3.96
20,46-55,1,4,2,3,2.15
21,26-35,5,3,1,4,3.05
22,56+,2,1,4,3,2.73
23,46-55,0,5,5,5,3.0
24,18-25,1,5,0,4,2.58
25,18-25,1,2,3,3,2.22
26,36-45,3,0,0,5,1.48
27,36-45,4,0,4,2,2.07
28,26-35,2,3,3,3,2.4
29,46-55,0,2,4,4,1.9
30,46-55,3,5,2,1,2.7
31,36-45,4,4,3,3,2.93
32,46-55,3,2,2,1,1.95
33,46-55,5,3,0,5,3.0
34,18-25,4,3,0,2,2.7
35,36-45,4,2,3,0,2.07
36,56+,2,3,3,2,2.93
37,36-45,4,2,5,3,2.84
38,56+,3,1,4,1,2.73
39,18-25,4,2,5,1,3.42
40,26-35,2,2,4,4,2.5
41,46-55,2,3,5,1,2.5
42,18-25,5,3,2,4,3.9
43,46-55,3,0,3,5,2.25
44,26-35,1,0,0,0,0.3
45,26-35,1,1,4,3,1.8
46,18-25,4,0,4,4,3.12
47,26-35,5,2,0,0,2.0
48,56+,0,3,5,1,2.47
49,26-35,4,0,4,1,2.15
50,46-55,5,0,2,0,1.9
51,46-55,3,1,3,1,1.9
52,46-55,3,5,0,5,2.9
53,46-55,3,1,3,5,2.5
54,56+,3,2,4,0,2.86
55,36-45,3,3,4,4,2.75
56,18-25,5,1,0,4,2.82
57,46-55,5,0,2,0,1.9
58,26-35,2,3,1,4,2.15
59,46-55,1,3,0,4,1.65
60,26-35,3,0,1,5,1.85
61,26-35,0,1,5,4,1.85
62,46-55,5,0,1,2,2.0
63,56+,0,5,2,3,2.73
64,26-35,0,3,5,1,1.9
65,26-35,0,4,1,2,1.5
66,46-55,2,4,5,4,3.2
67,26-35,5,2,1,5,2.95
68,26-35,0,0,2,0,0.4
69,46-55,3,0,1,4,1.7
70,46-55,4,2,1,5,2.65
71,18-25,0,2,1,3,1.38
72,56+,2,2,0,4,2.21
73,56+,5,3,0,0,2.93
74,26-35,2,5,0,5,2.6
75,56+,0,0,2,5,1.49
76,26-35,5,3,5,5,4.0
77,18-25,4,2,4,3,3.54
78,46-55,0,0,1,4,0.8
79,46-55,2,3,1,3,2.0
80,46-55,1,5,2,1,2.1
81,56+,3,3,1,1,2.6
82,18-25,2,5,0,4,2.94
83,56+,5,2,4,3,4.23
84,56+,0,5,3,0,2.41
85,18-25,3,0,1,5,2.22
86,18-25,0,2,0,5,1.5
87,18-25,5,0,3,4,3.24
88,18-25,0,4,4,1,2.34
89,46-55,1,1,3,1,1.3
90,36-45,3,5,0,5,2.61
91,36-45,3,1,5,4,2.48
92,18-25,5,1,5,3,3.84
93,36-45,1,5,3,1,2.07
94,36-45,2,2,2,3,1.75
95,18-25,0,4,3,1,2.1
96,36-45,4,0,1,1,1.39
97,56+,0,3,1,2,1.62
98,26-35,0,0,5,1,1.15
99,26-35,2,3,2,0,1.75
100,18-25,0,0,0,4,0.72
